Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
162510 (2000 QW69),162510,2000 QW69,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,1.376,0.3021,38.15,344.34,220.7,76.33,1.406,17.45,0.089,,,590,1.62,25.37,1.79,0.96,,
199145 (2005 YY128),199145,2005 YY128,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.65,0.7316,3.77,300.31,314.79,61.45,0.779,18.22,,,,774,2.12,23.19,2.86,0.44,,
2008 JW2,2008 JW2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.436,0.6376,8.87,35.44,142.29,173.32,0.413,19.6,,,,1390,3.81,19.07,3.99,0.88,,
311066 (2004 DC),311066,2004 DC,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.634,0.3995,19.45,74.93,156.26,87.98,0.786,18.2,,,,763,2.09,23.3,2.29,0.98,2.57,
357439 (2004 BL86),357439,2004 BL86,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.502,0.4025,23.78,126.67,311.51,196.48,0.463,19.35,,,,673,1.84,24.28,2.11,0.9,2.62,
2021 DH2,2021 DH2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.169,0.7578,5.31,333.1,87.11,54.45,0.155,21.73,,,,1170,3.21,20.17,3.81,0.53,,
450142 (1998 XN2),450142,1998 XN2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.999,0.5418,1.79,255.25,126.91,6.28,0.376,19.8,,,,1030,2.82,21.11,3.08,0.92,,
2019 AN7,2019 AN7,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2458492.5,1.196,0.8493,23.85,295.49,325.56,325.98,0.164,21.6,,,,478,1.31,27.22,2.21,0.18,,
2015 DB1,2015 DB1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.155,0.2546,38.12,144.43,242.38,136.52,0.15,21.8,,,,453,1.24,27.74,1.45,0.86,,
162173 Ryugu (1999 JU3),162173 ర్యుగు,1999 JU3,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.191,0.1912,5.87,251.31,211.59,134.34,0.63,19.39,,,Cg,475,1.3,27.28,1.42,0.96,7.63,"water, iron, nickel, cobalt, nitrogen, and ammonia."
1865 Cerberus (1971 UA),1865 సెర్బెర్స్,1971 UA,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,0,2459396.5,1.08,0.467,16.1,212.91,325.25,351.07,1.2,16.73,0.22,S,S,410,1.12,28.66,1.58,0.58,6.8,
1999 XS35,1999 XS35,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,17.77,0.9477,19.53,48.98,333.02,104.36,1.246,17.2,,,,27400,75.07,7.06,34.61,0.93,,
2008 UE7,2008 UE7,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.648,0.4485,3.95,81.16,48.8,317,0.285,20.4,,,,773,2.12,23.19,2.39,0.91,3.25,
2016 UW40,2016 UW40,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.334,0.3006,14.51,43.74,244.53,73.59,0.15,21.8,,,,563,1.54,25.78,1.74,0.93,,
377732 (2005 XJ8),377732,2005 XJ8,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.93,0.6215,23.58,115.95,67.32,255.26,0.986,17.04,0.288,,,979,2.68,21.45,3.13,0.73,0.13,
363734 (2004 XN50),363734,2004 XN50,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.682,0.7785,3.31,62.43,253.38,230.98,0.596,18.8,,,,796,2.18,22.99,2.99,0.37,,
2010 WZ8,2010 WZ8,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.973,0.5032,3.7,284.26,200.47,278.17,0.249,20.7,,,,1010,2.77,21.25,2.97,0.98,,
1979 XB,1979 XB,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2444221.5,2.228,0.7084,24.73,86.06,75.58,346.32,0.654,18.6,,,,1210,3.32,20.03,3.81,0.65,,
2008 QS11,2008 QS11,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,1.861,0.4824,12.49,11.51,30.71,357.26,0.453,19.9,0.094,,,927,2.54,21.84,2.76,0.96,46.65,
2020 UR6,2020 UR6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.778,0.4911,8.11,311.51,161.62,76.27,0.234,20.83,,,,866,2.37,22.34,2.65,0.9,,
2015 KL157,2015 KL157,,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,2.641,0.6181,35.55,279.26,5.11,137.17,1.288,19.1,0.024,,,1570,4.3,18.3,4.27,1.01,,
2020 KO3,2020 KO3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.866,0.5044,11.79,122.41,213.4,130.35,0.313,20.2,,,,931,2.55,21.8,2.81,0.92,,
89958 (2002 LY45),89958,2002 LY45,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,1.642,0.8863,9.91,188.17,222.91,341.98,1.281,17.14,,,,768,2.1,23.26,3.1,0.19,,
2020 QR7,2020 QR7,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.495,0.5938,11.77,114.95,339.92,28.43,0.51,19.14,,,,1440,3.95,18.85,3.98,1.01,,
2016 PR38,2016 PR38,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.657,0.4281,4.7,176.75,225.44,66.61,0.137,22,,,,779,2.13,23.14,2.37,0.95,,
368565 (2004 FE5),368565,2004 FE5,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.245,0.6004,18.3,189.41,243.45,203.84,0.359,19.9,,,,507,1.39,26.71,1.99,0.5,,
2014 KV86,2014 KV86,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.633,0.6409,25.58,130.97,37.23,254.42,0.644,20.55,0.032,,,1560,4.27,18.36,4.32,0.95,,
2015 BK515,2015 BK515,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.75,0.4464,5.27,152.46,59.19,233.81,0.217,21,,,,845,2.32,22.53,2.53,0.97,,
2017 WN16,2017 WN16,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.274,0.5366,30.64,246.85,79.02,226.51,0.172,21.5,,,,525,1.44,26.4,1.96,0.59,,
2014 KM4,2014 KM4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.802,0.6794,5.21,143.82,10.08,196.98,0.189,21.3,,,,1710,4.68,17.83,4.71,0.9,,
8014 (1990 MF),8014,1990 MF,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.747,0.4562,1.87,209.86,114.71,137.62,0.7,18.95,,,,844,2.31,22.52,2.54,0.95,50.09,
2013 JM14,2013 JM14,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.894,0.5108,8.11,109.53,44.32,69.41,0.164,21.6,,,,952,2.61,21.64,2.86,0.93,,
2015 AR45,2015 AR45,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.385,0.7014,9.23,114.39,239.58,30.29,0.376,19.8,,,,595,1.63,25.32,2.36,0.41,,
437905 (2001 XU30),437905,2001 XU30,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.192,0.6672,8.91,72.47,106.56,343.51,0.376,19.8,,,Sq,1190,3.26,20.04,3.65,0.73,,
2012 MZ6,2012 MZ6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2456106.5,2.141,0.712,1.36,317.2,225.05,19.56,0.172,21.5,,,,1140,3.12,20.43,3.67,0.62,,
2019 BK,2019 BK,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.055,0.7282,4.13,264.56,121.06,315.99,0.217,21,,,,1080,2.96,20.7,3.55,0.56,2.86,
448721 (2011 BN24),448721,2011 BN24,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.544,0.4121,3.94,195.76,61.82,69.86,0.227,20.9,,,,701,1.92,23.96,2.18,0.91,8,
2017 GP6,2017 GP6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.66,0.6528,14.28,117.43,150.9,337.45,0.197,21.2,,,,1580,4.33,18.32,4.4,0.92,,
2014 OJ392,2014 OJ392,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.168,0.2922,35.36,316.93,242.14,259.24,0.157,21.7,,,,461,1.26,27.56,1.51,0.83,,
2014 JS54,2014 JS54,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.074,0.8939,3.36,235.05,206.55,162.1,0.197,21.2,,,,1090,2.99,20.7,3.93,0.22,,
2011 UG20,2011 UG20,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.124,0.6869,18.98,205.74,305.03,359.48,0.18,21.4,,,,435,1.19,28.11,1.9,0.35,,
2019 CH1,2019 CH1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.335,0.7141,10.88,296.49,73.53,257.79,0.217,21,,,,564,1.55,25.75,2.29,0.38,,
2009 SW17,2009 SW17,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.013,0.5978,8.4,42.44,42.2,21.47,0.359,19.9,,,,1040,2.85,21.06,3.22,0.81,,
2014 PS59,2014 PS59,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,1.964,0.5459,14.14,162.5,222.8,163.51,0.206,20.5,0.263,,,1010,2.77,21.15,3.04,0.89,,
495187 (2012 VO76),495187,2012 VO76,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.204,0.2151,36.95,229.48,297.36,94.85,0.218,20.99,,,,483,1.32,27.12,1.46,0.95,,
2019 LZ1,2019 LZ1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2458641.5,2.297,0.9285,9.61,221.07,223,14.26,0.376,19.8,,,,1270,3.48,19.68,4.43,0.16,,
2016 WF9,2016 WF9,,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.852,0.6642,15.16,125.2,342.88,327.02,1.082,20.3,0.013,,,1760,4.82,17.63,4.75,0.96,,
2018 TF3,2018 TF3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.132,0.7168,6.87,51.6,76.57,291.13,0.285,20.4,,,,1140,3.12,20.35,3.66,0.6,2.35,
436774 (2012 KY3),436774,2012 KY3,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.232,0.4863,21.39,21.53,87.32,290.94,0.691,18.48,,,,500,1.37,26.81,1.83,0.63,,
159504 (2000 WO67),159504,2000 WO67,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,2.435,0.6173,9.69,107.6,237.76,186.42,2.324,16.93,0.052,,,1390,3.81,19.06,3.94,0.93,7.84,
164211 (2004 JA27),164211,2004 JA27,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.666,0.4234,2.26,67.77,270.21,297.24,0.452,19.4,,,,786,2.15,23.06,2.37,0.96,,
2016 UF101,2016 UF101,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.685,0.633,10.14,317.15,18.53,31.88,0.15,21.8,,,,1610,4.41,18.14,4.38,0.99,,
53319 (1999 JM8),53319,1999 JM8,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,1,2459396.5,2.724,0.6417,13.84,133.62,166.83,324.63,7,15.25,,,X:,1640,4.49,18.07,4.47,0.98,136,
